hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
蒲田1,戦国乙女4 戦乱に閃く炯眼の軍師,hit104,2026-04-02..2026-06-30,333,0.485320846268792,0.0,5.0,2026-01-02..2026-04-01,399,0.2523534800917084,0.10821969612216827,7.0,31,0.09793197211741178,0.6001966515247797,False,False,
蒲田1,戦国乙女4 戦乱に閃く炯眼の軍師,plus,2026-04-02..2026-06-30,333,0.7047114018089714,0.0,5.0,2026-01-02..2026-04-01,399,0.11505847986468393,0.15382808645484855,7.0,31,-0.006778633381701759,0.9711299035636775,False,False,
蒲田1,押忍!番長ZERO,hit104,2026-04-02..2026-06-30,,,,,2026-02-02..2026-04-01,,,,,,,,False,False,skip: window0_n=72 < 200; window1_n=75 < 200
蒲田1,押忍!番長ZERO,plus,2026-04-02..2026-06-30,,,,,2026-02-02..2026-04-01,,,,,,,,False,False,skip: window0_n=72 < 200; window1_n=75 < 200
蒲田1,攻殻機動隊,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=87 < 200
蒲田1,攻殻機動隊,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=87 < 200
蒲田1,新鬼武者3,hit104,2026-04-02..2026-06-30,396,0.25299332453762546,0.10842352372931188,12.0,2026-01-02..2026-04-01,614,0.8420424897990997,0.0,14.0,31,0.2977585057063576,0.1037658890895236,False,False,
蒲田1,新鬼武者3,plus,2026-04-02..2026-06-30,396,0.6103527264431745,0.0,12.0,2026-01-02..2026-04-01,614,0.949258038696541,0.0,24.0,31,0.35007581194601106,0.05352855614379036,False,False,
蒲田1,東京リベンジャーズ,hit104,2026-04-02..2026-06-30,400,0.006889759092466628,0.23655656695289867,31.0,2026-01-02..2026-04-01,680,0.1453077999224409,0.10942909191521336,22.0,31,0.1568564284739197,0.39940472650287223,True,False,
蒲田1,東京リベンジャーズ,plus,2026-04-02..2026-06-30,400,0.005033544194864809,0.2430524246945786,7.0,2026-01-02..2026-04-01,680,0.013981108811402963,0.16925943565129542,22.0,31,0.20582606877812393,0.2666356898290834,True,False,
蒲田1,東京喰種,hit104,2026-04-02..2026-06-30,1455,0.08611395386934449,0.08708609948945849,3.0,2026-01-02..2026-04-01,1047,0.025087444310814923,0.12724102177115004,27.0,31,-0.3205417232421189,0.0787331636569299,False,False,
蒲田1,東京喰種,plus,2026-04-02..2026-06-30,1455,0.06576117812603002,0.09237180347978578,29.0,2026-01-02..2026-04-01,1047,0.019791035268821925,0.13110382945818844,18.0,31,-0.28280384552221194,0.12318510896647401,False,False,
蒲田1,機動戦士ガンダムユニコーン 覚醒DRIVE,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=39 < 200; window1_n=0 < 200
蒲田1,機動戦士ガンダムユニコーン 覚醒DRIVE,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=39 < 200; window1_n=0 < 200
蒲田1,沖ドキ!BLACK,hit104,2026-04-02..2026-06-30,330,0.8822145867526964,0.0,15.0,2026-01-02..2026-04-01,347,0.6770975563283148,0.0,25.0,31,0.05352772228790516,0.774887744097116,False,False,
蒲田1,沖ドキ!BLACK,plus,2026-04-02..2026-06-30,330,0.7719102666221658,0.0,31.0,2026-01-02..2026-04-01,347,0.540417442009681,0.0,13.0,31,0.0682074006426736,0.7154236596329717,False,False,
蒲田1,沖ドキ!DUO アンコール,hit104,2026-04-02..2026-06-30,240,0.7425667931978664,0.0,29.0,2026-01-21..2026-04-01,380,0.1884662568015568,0.13137376834269515,13.0,31,0.03443455634152162,0.8540926474253943,False,False,
蒲田1,沖ドキ!DUO アンコール,plus,2026-04-02..2026-06-30,240,0.8317361843266968,0.0,29.0,2026-01-21..2026-04-01,380,0.18969385460674776,0.13096986962429186,13.0,31,0.12421263320077718,0.5055695600849092,False,False,
