hall,machine_name,weekday,n,hit104_rate,baseline_hit104_rate,residual,category
楽園,幼女戦記,土,77,31.16883116883117,31.510416666666668,-0.3415854978354993,other
楽園,幼女戦記,日,71,35.2112676056338,31.510416666666668,3.7008509389671325,other
楽園,戦国†恋姫,月,133,33.83458646616541,34.5,-0.6654135338345881,bt
楽園,戦国†恋姫,火,123,35.77235772357724,34.5,1.2723577235772368,bt
楽園,戦国†恋姫,水,137,35.76642335766424,34.5,1.2664233576642374,bt
楽園,戦国†恋姫,木,129,33.33333333333333,34.5,-1.1666666666666714,bt
楽園,戦国†恋姫,金,150,37.333333333333336,34.5,2.8333333333333357,bt
楽園,戦国†恋姫,土,164,34.146341463414636,34.5,-0.35365853658536395,bt
楽園,戦国†恋姫,日,164,31.70731707317073,34.5,-2.7926829268292686,bt
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,月,452,30.752212389380528,29.634183830310484,1.1180285590700443,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,火,393,31.043256997455472,29.634183830310484,1.4090731671449888,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,水,413,28.57142857142857,29.634183830310484,-1.0627552588819142,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,木,397,31.98992443324937,29.634183830310484,2.355740602938887,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,金,459,29.847494553376908,29.634183830310484,0.2133107230664244,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,土,574,28.57142857142857,29.634183830310484,-1.0627552588819142,other
楽園,戦国乙女4 戦乱に閃く炯眼の軍師,日,565,27.787610619469028,29.634183830310484,-1.8465732108414556,other
楽園,戦姫絶唱シンフォギア 勇気の歌,月,56,48.214285714285715,35.53921568627451,12.675070028011206,other
楽園,戦姫絶唱シンフォギア 勇気の歌,火,41,29.268292682926827,35.53921568627451,-6.270923003347683,other
楽園,戦姫絶唱シンフォギア 勇気の歌,水,47,34.04255319148936,35.53921568627451,-1.4966624947851486,other
楽園,戦姫絶唱シンフォギア 勇気の歌,木,47,38.297872340425535,35.53921568627451,2.758656654151025,other
楽園,戦姫絶唱シンフォギア 勇気の歌,金,63,26.984126984126984,35.53921568627451,-8.555088702147525,other
楽園,戦姫絶唱シンフォギア 勇気の歌,土,86,36.04651162790697,35.53921568627451,0.5072959416324636,other
楽園,戦姫絶唱シンフォギア 勇気の歌,日,68,35.294117647058826,35.53921568627451,-0.24509803921568363,other
楽園,戦姫絶唱シンフォギア 正義の歌,月,27,33.33333333333333,27.65151515151515,5.68181818181818,other
楽園,戦姫絶唱シンフォギア 正義の歌,火,37,27.027027027027028,27.65151515151515,-0.6244881244881206,other
楽園,戦姫絶唱シンフォギア 正義の歌,水,34,20.588235294117645,27.65151515151515,-7.063279857397504,other
楽園,戦姫絶唱シンフォギア 正義の歌,木,30,33.33333333333333,27.65151515151515,5.68181818181818,other
楽園,戦姫絶唱シンフォギア 正義の歌,金,39,30.76923076923077,27.65151515151515,3.1177156177156213,other
楽園,戦姫絶唱シンフォギア 正義の歌,土,45,26.666666666666668,27.65151515151515,-0.9848484848484809,other
楽園,戦姫絶唱シンフォギア 正義の歌,日,52,25.0,27.65151515151515,-2.6515151515151487,other
楽園,押忍!番長ZERO,月,319,35.10971786833856,33.97894736842105,1.130770499917503,other
楽園,押忍!番長ZERO,火,324,33.95061728395062,33.97894736842105,-0.028330084470432837,other
楽園,押忍!番長ZERO,水,312,32.371794871794876,33.97894736842105,-1.6071524966261777,other
楽園,押忍!番長ZERO,木,301,34.21926910299003,33.97894736842105,0.24032173456897965,other
楽園,押忍!番長ZERO,金,345,36.811594202898554,33.97894736842105,2.832646834477501,other
楽園,押忍!番長ZERO,土,399,29.82456140350877,33.97894736842105,-4.154385964912283,other
楽園,押忍!番長ZERO,日,375,36.0,33.97894736842105,2.0210526315789465,other
楽園,押忍！番長4,月,207,29.468599033816425,29.857512953367877,-0.3889139195514524,other
楽園,押忍！番長4,火,192,30.729166666666668,29.857512953367877,0.8716537132987909,other
楽園,押忍！番長4,水,196,32.142857142857146,29.857512953367877,2.285344189489269,other
楽園,押忍！番長4,木,188,32.4468085106383,29.857512953367877,2.5892955572704217,other
楽園,押忍！番長4,金,199,30.15075376884422,29.857512953367877,0.2932408154763415,other
楽園,押忍！番長4,土,281,31.316725978647685,29.857512953367877,1.4592130252798086,other
楽園,押忍！番長4,日,281,24.555160142348754,29.857512953367877,-5.302352811019123,other
楽園,攻殻機動隊,月,50,40.0,30.446927374301673,9.553072625698327,other
楽園,攻殻機動隊,火,51,31.372549019607842,30.446927374301673,0.925621645306169,other
楽園,攻殻機動隊,水,54,22.22222222222222,30.446927374301673,-8.224705152079451,other
楽園,攻殻機動隊,木,50,28.000000000000004,30.446927374301673,-2.4469273743016693,other
楽園,攻殻機動隊,金,51,25.49019607843137,30.446927374301673,-4.956731295870302,other
楽園,攻殻機動隊,土,51,37.254901960784316,30.446927374301673,6.8079745864826435,other
楽園,攻殻機動隊,日,51,29.411764705882355,30.446927374301673,-1.0351626684193178,other
楽園,新ハナビ,月,645,35.038759689922486,31.970835174547062,3.0679245153754238,bt
楽園,新ハナビ,火,634,31.703470031545745,31.970835174547062,-0.2673651430013173,bt
楽園,新ハナビ,水,634,35.80441640378549,31.970835174547062,3.833581229238426,bt
楽園,新ハナビ,木,610,35.24590163934426,31.970835174547062,3.2750664647971988,bt
楽園,新ハナビ,金,649,27.73497688751926,31.970835174547062,-4.235858287027803,bt
楽園,新ハナビ,土,680,29.558823529411764,31.970835174547062,-2.4120116451352978,bt
楽園,新ハナビ,日,674,29.22848664688427,31.970835174547062,-2.7423485276627915,bt
楽園,新鬼武者2,月,246,40.243902439024396,35.40816326530612,4.835739173718274,other
楽園,新鬼武者2,火,220,36.36363636363637,35.40816326530612,0.9554730983302449,other
楽園,新鬼武者2,水,256,40.234375,35.40816326530612,4.826211734693878,other
楽園,新鬼武者2,木,226,35.39823008849557,35.40816326530612,-0.009933176810548616,other
楽園,新鬼武者2,金,248,37.5,35.40816326530612,2.091836734693878,other
楽園,新鬼武者2,土,382,31.413612565445025,35.40816326530612,-3.9945506998610973,other
楽園,新鬼武者2,日,382,31.151832460732987,35.40816326530612,-4.256330804573135,other
楽園,新鬼武者3,月,214,28.504672897196258,27.425373134328357,1.079299762867901,other
楽園,新鬼武者3,火,208,32.69230769230769,27.425373134328357,5.2669345579793365,other
楽園,新鬼武者3,水,232,24.568965517241377,27.425373134328357,-2.8564076170869797,other
楽園,新鬼武者3,木,199,26.633165829145728,27.425373134328357,-0.7922073051826288,other
楽園,新鬼武者3,金,214,30.8411214953271,27.425373134328357,3.4157483609987445,other
