hall,weekday,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual,p_value,cohens_h,note,q_value,is_significant,weekday_event_coverage_rate,is_known_weekend_day,pooled_n,pooled_hit104_rate,pooled_diff,hall_overall_hit104_rate,hall_overall_diff,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall
蒲田7,金,100,37,63,0.37,-1.517242087831717,-1.2447514664121329,0.012032975725363479,-0.2630222029084692,,0.042115415038772176,True,0.0,False,33307,31.398805055994234,176.21821238778634,32.50792660302898,218.47109319661348,-1.1091215470347429,-42.25288080882714
蒲田1,土,104,64,40,0.6153846153846154,0.6476015744499996,1.2510619831392251,0.023645635749768138,0.23286817825808237,,0.08275972512418849,False,1.0,True,26110,32.10264266564535,115.79088471849866,30.635593220338986,79.93034594845601,1.4670494453063618,35.86053877004265
蒲田1,日,104,56,48,0.5384615384615384,0.27206123151046857,0.3410439431618304,0.4926450664865033,0.07699914065682334,,0.6897030930811046,False,1.0,True,25974,30.17248017248017,25.294525294525293,30.635593220338986,79.93034594845601,-0.46311304785881546,-54.635820653930715
蒲田1,月,104,50,54,0.4807692307692308,0.20400684867172247,-0.2241435597528909,0.7687918101386723,-0.03847102740732855,,0.8969237784951177,False,0.0,False,24224,29.924867899603697,46.48282694848085,30.635593220338986,79.93034594845601,-0.710725320735289,-33.44751899997516
蒲田1,木,104,51,53,0.49038461538461536,-0.20190476578985084,-0.026957913486139518,0.921948827626431,-0.019231954756553593,,0.921948827626431,False,0.0,False,23639,30.483522991666312,75.41351156986336,30.635593220338986,79.93034594845601,-0.15207022867267384,-4.516834378592648
蒲田1,水,104,56,48,0.5384615384615384,0.06082282306288199,0.31436369907373596,0.4926450664865033,0.07699914065682334,,0.6897030930811046,False,0.0,False,24330,30.54254007398274,88.55322646937937,30.635593220338986,79.93034594845601,-0.0930531463562474,8.62288052092336
蒲田1,火,104,62,42,0.5961538461538461,0.6615935179358444,0.8154464270934145,0.061926379878627334,0.19351319251078558,,0.14449488638346378,False,0.0,False,23947,31.051906293063848,115.9936526496012,30.635593220338986,79.93034594845601,0.4163130727248614,36.063306701145194
蒲田1,金,104,40,64,0.38461538461538464,-1.8992237027665493,-0.8403942884008853,0.023645635749768138,-0.23286817825808237,,0.08275972512418849,False,0.0,False,24056,30.0881277020286,93.49850349185235,30.635593220338986,79.93034594845601,-0.5474655183103856,13.568157543396339
楽園,土,181,76,105,0.4198895027624309,-0.6510907280291643,-0.6302816901408406,0.037120275450397366,-0.16091453571722947,,0.08661397605092719,False,1.0,True,39154,30.18337845430863,41.7418909945344,30.771952315940194,59.78607522227032,-0.5885738616315628,-18.04418422773592
楽園,日,181,56,125,0.30939226519337015,-1.490804224762889,-2.3099955338148384,3.142983309403162e-07,-0.3911106921243661,,2.2000883165822135e-06,True,1.0,True,38649,29.040854873347303,-13.328650159124427,30.771952315940194,59.78607522227032,-1.7310974425928904,-73.11472538139475
