date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,dd,dow,mmdd,is_event,is_month_end,is_0707,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,segment,hist_payout_row,kakuban,dd_key,dow_key,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an,a_seg_hist_coverage,a_seg_fallback_count,hist_metric,composite,variant,test_date,dow_name,rank
20260621,3084,ミリオンゴッド‐神々の軌跡‐,4,0,1084,-900,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,12,4,15,large,R,12,4,N,3F_R_N,72.32472324723247,4,21,6,21.159420289855074,0.0,-137.87878787878788,260.9929078014184,0.0,0.0,-63.768115942028984,97.71234285505777,0.3507246376811594,26.956521739130434,0.0,0.0,26.956521739130434,-9.615525547532918,v7_lift_weights,2026-06-21,Sunday,484
20260621,3045,ビッグドリーム THE GOLDEN PUSHER,5,0,1791,-1400,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,3,13,15,large,L,3,13,N,3F_L_N,73.94379303927042,13,21,6,-218.9855072463768,100.0,-77.77777777777777,-242.37918215613382,89.27536231884058,0.0,-59.42028985507246,98.29578772852915,0.3507246376811594,28.405797101449277,0.0,0.0,28.405797101449277,-9.65174758668832,v7_lift_weights,2026-06-21,Sunday,485
20260621,3075,ミリオンゴッド‐神々の軌跡‐,5,0,6543,-4400,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,3,13,15,large,L,3,13,N,3F_L_N,77.58418666259107,13,21,6,-218.9855072463768,100.0,-77.77777777777777,-242.37918215613382,89.27536231884058,0.0,-565.5072463768116,94.95745298417512,0.3188405797101449,25.507246376811594,0.0,0.0,25.507246376811594,-10.231457731615855,v7_lift_weights,2026-06-21,Sunday,486
20260621,3264,真打 吉宗,4,0,3185,0,2026-06-21,21,6,0621,True,False,False,3F,3250-3264,3250,3264,15,1,15,large,R,15,1,N,3F_R_N,100.0,1,21,6,-42.17391304347826,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,353.6231884057971,103.10510423126115,0.4405797101449275,37.10144927536232,0.0,0.0,37.10144927536232,-24.21159145686699,v7_lift_weights,2026-06-21,Sunday,487
20260621,3025,沖ドキ!DUO アンコール,5,0,1187,0,2026-06-21,21,6,0621,True,False,False,3F,3017-3030,3017,3030,9,6,14,medium,R,9,6,N,3F_R_N,100.0,6,21,6,20.72463768115942,200.0,-214.28571428571428,127.05167173252279,0.0,0.0,-81.73913043478261,106.23774489047757,0.4028985507246377,35.07246376811594,0.0,0.0,35.07246376811594,-25.068184535608843,v7_lift_weights,2026-06-21,Sunday,488
20260621,3401,マジカルハロウィン8,1,0,7010,200,2026-06-21,21,6,0621,True,False,False,3F,3400-3401,3400,3401,2,1,2,small,R,2,1,N,3F_R_N,100.9510223490252,1,21,6,360.8695652173913,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,360.8695652173913,100.76918836544606,0.5391304347826087,32.17391304347826,0.0,0.0,32.17391304347826,-25.443475514838006,v7_lift_weights,2026-06-21,Sunday,489
20260621,3057,革命機ヴァルヴレイヴ,7,0,6721,-1500,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,15,1,15,large,R,15,1,N,3F_R_N,92.5606308585032,1,21,6,-42.17391304347826,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,68.1159420289855,100.09817888251767,0.3739130434782609,31.30434782608696,0.0,0.0,31.30434782608696,-25.660866819185827,v7_lift_weights,2026-06-21,Sunday,490
20260621,3030,スマスロ ハナビ,0,0,4622,200,2026-06-21,21,6,0621,True,False,False,3F,3017-3030,3017,3030,14,1,14,medium,R,14,1,N,3F_R_N,101.44237703735757,1,21,6,-112.17391304347827,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,-186.08695652173913,102.96678060862578,0.4,31.01449275362319,0.0,0.0,31.01449275362319,-25.733330587301772,v7_lift_weights,2026-06-21,Sunday,491
20260621,3116,革命機ヴァルヴレイヴ2,6,0,4533,-500,2026-06-21,21,6,0621,True,False,False,3F,3103-3116,3103,3116,14,1,14,medium,R,14,1,N,3F_R_N,96.3232590631664,1,21,6,-112.17391304347827,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,-38.26086956521739,99.48142089987219,0.3536231884057971,29.565217391304348,0.0,0.0,29.565217391304348,-26.095649427881483,v7_lift_weights,2026-06-21,Sunday,492
20260621,3087,ToLOVEるダークネス TRANCE ver.8.7,7,0,4362,2700,2026-06-21,21,6,0621,True,False,False,3F,3073-3087,3073,3087,15,1,15,large,R,15,1,N,3F_R_N,120.63273727647868,1,21,6,-42.17391304347826,0.0,-90.9090909090909,-39.817629179331306,0.0,0.0,-149.56521739130434,97.81489696868333,0.34202898550724636,28.405797101449277,0.0,0.0,28.405797101449277,-26.38550450034525,v7_lift_weights,2026-06-21,Sunday,493
