metric,test_type,n_current,n_baseline,n_paired,mean_current,mean_baseline,delta_mean,ci_low,ci_high,p_value,cohens_d,cohens_d_label,condition,difficulty,p_value_adj_bonferroni,p_value_adj_bh,sig_raw_0_05,sig_bh_0_05,sig_bonf_0_05
loss_value,wilcoxon,420,423,417,788.8095238095239,813.4751773049645,-24.665653495440665,-230.71342925659474,227.59592326139077,0.1564870347165056,-0.007261856556443185,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,21,19,0,0.9047619047619048,0.8947368421052632,0.010025062656641603,-0.18546365914786966,0.21052631578947367,0.93770059195896,0.03257527733513057,negligible,difficulty_failure,hit_day,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,12,9,6,0.6666666666666666,0.6666666666666666,0.0,-0.38888888888888884,0.4166666666666667,1.0,0.0,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
loss_value,mannwhitneyu,12,9,6,4708.333333333333,5355.555555555556,-647.2222222222226,-7429.097222222222,5728.124999999998,0.6447337124174612,-0.07934514744548687,negligible,difficulty_failure,miss_day,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,5,4,0,0.2,0.25,-0.04999999999999999,-0.55,0.4,,-0.10625592962581032,negligible,difficulty_failure,miss_day,,,False,False,False
hit_at_2,wilcoxon,108,108,82,0.9629629629629629,0.9722222222222222,-0.0092592592592593,-0.04878048780487805,0.024390243902439025,0.5637028616507731,-0.05206385484678252,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,82,3264.814814814815,2699.074074074074,565.7407407407409,-724.420731707317,1797.6829268292677,0.6495629244115453,0.08768406579796938,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
rank2_rescue_on_miss1,mannwhitneyu,16,13,0,0.625,0.6923076923076923,-0.06730769230769229,-0.40865384615384615,0.28846153846153844,0.729320080889806,-0.13697723819995666,negligible,pred_span_quartile,Q1,1.0,1.0,False,False,False
hit_at_2,mannwhitneyu,108,108,70,1.0,1.0,0.0,0.0,0.0,1.0,,na,pred_span_quartile,Q2,1.0,1.0,False,False,False
loss_value,wilcoxon,108,108,70,241.66666666666666,850.0,-608.3333333333334,-231.42857142857142,0.0,0.10880943004054569,-0.271001786233329,small,pred_span_quartile,Q2,1.0,1.0,False,False,False
