index,debut_phase,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
1,15-60日,204.0,156.77710843373495,36.0,107.19475877952405,47.22289156626505,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,8.0,1.3763855421686748,5.0,1.2526315789473683,3.0,1.0984615384615384,2026-01-15,v12d_tuned_half,90,non_event,bottom50
2,61-180日,874.3589743589744,118.81481481481481,46.15384615384615,106.7941951033222,755.5441595441596,3.0,5.492307692307693,3.0,2.7461538461538466,7.0,2.563076923076923,10.0,2.205746061167748,7.0,2.2483130904183537,6.0,2.8165680473372783,2026-01-15,v12d_tuned_half,90,non_event,bottom50
3,pre_existing,-30.0,174.3975903614458,32.0,97.85207182221232,-204.3975903614458,0.0,0.0,2.0,1.4280000000000002,5.0,1.428,6.0,1.032289156626506,5.0,1.2526315789473683,5.0,1.8307692307692307,2026-01-15,v12d_tuned_half,90,non_event,bottom50
0,1-14日,-426.0,492.3192771084337,34.0,111.64595571245003,-918.3192771084337,1.0,1.4280000000000002,2.0,1.4280000000000002,5.0,1.428,11.0,1.0005095541401274,6.0,0.8568,5.0,1.02,2026-01-16,v12c_tuned,90,non_event,top50
1,15-60日,1330.0,360.0903614457831,52.0,111.81163285354063,969.9096385542168,3.0,4.284000000000001,4.0,2.8560000000000003,9.0,2.5704,19.0,1.7281528662420382,15.0,2.142,12.0,2.448,2026-01-16,v12c_tuned,90,non_event,top50
2,61-180日,251.28205128205127,438.22222222222223,51.28205128205128,102.52301151991858,-186.94017094017096,0.0,0.0,1.0,0.9153846153846155,4.0,1.4646153846153847,13.0,1.515923566878981,7.0,1.2815384615384615,6.0,1.5692307692307692,2026-01-16,v12c_tuned,90,non_event,top50
3,pre_existing,1130.0,375.15060240963857,48.0,109.90196834805626,754.8493975903614,3.0,4.284000000000001,5.0,3.5700000000000003,8.0,2.2848,11.0,1.0005095541401274,10.0,1.428,8.0,1.632,2026-01-16,v12c_tuned,90,non_event,top50
0,1-14日,-576.0,503.6144578313253,32.0,110.8933232199163,-1079.6144578313254,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,10.0,0.9095541401273886,5.0,0.714,4.0,0.816,2026-01-16,v12c_tuned,90,non_event,bottom50
1,15-60日,1442.0,351.6566265060241,54.0,112.11076631535592,1090.3433734939758,3.0,4.284000000000001,4.0,2.8560000000000003,9.0,2.5704,20.0,1.819108280254777,16.0,2.2848,13.0,2.6519999999999997,2026-01-16,v12c_tuned,90,non_event,bottom50
2,61-180日,251.28205128205127,438.22222222222223,51.28205128205128,102.52301151991857,-186.94017094017096,0.0,0.0,1.0,0.9153846153846155,4.0,1.4646153846153847,13.0,1.515923566878981,7.0,1.2815384615384615,6.0,1.5692307692307692,2026-01-16,v12c_tuned,90,non_event,bottom50
3,pre_existing,1150.0,373.644578313253,50.0,108.52270822632718,776.3554216867469,2.0,2.8560000000000003,4.0,2.8560000000000003,8.0,2.2848,17.0,1.5462420382165605,13.0,1.8564,12.0,2.448,2026-01-16,v12c_tuned,90,non_event,bottom50
0,1-14日,-426.0,492.3192771084337,34.0,111.64595571245003,-918.3192771084337,1.0,1.4280000000000002,2.0,1.4280000000000002,5.0,1.428,11.0,1.0005095541401274,6.0,0.8568,5.0,1.02,2026-01-16,v12d_tuned_half,90,non_event,top50
1,15-60日,1330.0,360.0903614457831,52.0,111.81163285354063,969.9096385542168,3.0,4.284000000000001,4.0,2.8560000000000003,9.0,2.5704,19.0,1.7281528662420382,15.0,2.142,12.0,2.448,2026-01-16,v12d_tuned_half,90,non_event,top50
2,61-180日,251.28205128205127,438.22222222222223,51.28205128205128,102.52301151991858,-186.94017094017096,0.0,0.0,1.0,0.9153846153846155,4.0,1.4646153846153847,13.0,1.515923566878981,7.0,1.2815384615384615,6.0,1.5692307692307692,2026-01-16,v12d_tuned_half,90,non_event,top50
3,pre_existing,1130.0,375.15060240963857,48.0,109.90196834805626,754.8493975903614,3.0,4.284000000000001,5.0,3.5700000000000003,8.0,2.2848,11.0,1.0005095541401274,10.0,1.428,8.0,1.632,2026-01-16,v12d_tuned_half,90,non_event,top50
0,1-14日,-576.0,503.6144578313253,32.0,110.89332321991628,-1079.6144578313254,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,10.0,0.9095541401273886,5.0,0.714,4.0,0.816,2026-01-16,v12d_tuned_half,90,non_event,bottom50
1,15-60日,1442.0,351.6566265060241,54.0,112.11076631535592,1090.3433734939758,3.0,4.284000000000001,4.0,2.8560000000000003,9.0,2.5704,20.0,1.819108280254777,16.0,2.2848,13.0,2.6519999999999997,2026-01-16,v12d_tuned_half,90,non_event,bottom50
2,61-180日,251.28205128205127,438.22222222222223,51.28205128205128,102.52301151991857,-186.94017094017096,0.0,0.0,1.0,0.9153846153846155,4.0,1.4646153846153847,13.0,1.515923566878981,7.0,1.2815384615384615,6.0,1.5692307692307692,2026-01-16,v12d_tuned_half,90,non_event,bottom50
3,pre_existing,1150.0,373.644578313253,50.0,108.52270822632718,776.3554216867469,2.0,2.8560000000000003,4.0,2.8560000000000003,8.0,2.2848,17.0,1.5462420382165605,13.0,1.8564,12.0,2.448,2026-01-16,v12d_tuned_half,90,non_event,bottom50
0,1-14日,-356.0,140.36144578313252,40.0,100.60901799339831,-496.3614457831325,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,10.0,1.3471698113207546,8.0,1.6556521739130436,5.0,1.373076923076923,2026-01-17,v12c_tuned,90,event,top50
1,15-60日,-930.0,183.5843373493976,34.0,94.92285891765269,-1113.5843373493976,1.0,1.4280000000000002,1.0,0.7140000000000001,2.0,0.5712,4.0,0.5388679245283019,2.0,0.4139130434782609,2.0,0.5492307692307692,2026-01-17,v12c_tuned,90,event,top50
