date,month,weekday,expert,model,window,lambda,top1_tail,top1_pred,top1_actual_raw_diff,top1_prob_positive,top1_final_score,top2_tail,top2_pred,top2_actual_raw_diff,top2_prob_positive,top2_final_score,pred_span_top12,hit_at_2,hit_at_3,pred_span_quartile,rolling_median,zscore,is_anomaly,anomaly_direction,is_hit_rate_miss_day,difficulty_failure,actual_top1_tail,actual_top2_tail,actual_top3_tail,actual_top1_diff,actual_top2_diff,actual_top3_diff,loss_scenario,loss_value,chosen_tail,top1_match,top2_match,top3_match,rescue_source
2026-01-17,2026-01,Saturday,2F_N,xgb_ranker_ndcg,full_2025,0.75,9,0.9904709638317758,40500.0,0.5,0.9904709638317758,7,0.7550114465770166,27900.0,0.5,0.7550114465770166,0.2354595172547592,1.0,1.0,Q3,163.0,-0.27933935745451005,0,normal,0,hit_day,9,8,7,40500.0,29400.0,27900.0,hit1,0.0,9,1,0,0,rank1
2026-01-17,2026-01,Saturday,3F_A,xgb_ranker_ndcg,full_2025,1.25,6,0.932127654118204,15900.0,0.5,0.932127654118204,1,0.8627594537706482,15800.0,0.5,0.8627594537706482,0.0693682003475557,1.0,1.0,Q2,163.0,-0.27933935745451005,0,normal,0,hit_day,6,1,9,15900.0,15800.0,12800.0,hit1,0.0,6,1,1,0,rank1
2026-01-17,2026-01,Saturday,3F_N,xgb_ranker_ndcg,recent_60d,1.0,4,0.8686738592215333,15300.0,0.5,0.8686738592215333,5,0.164880968847192,7600.0,0.5,0.164880968847192,0.7037928903743412,1.0,1.0,Q4,163.0,-0.27933935745451005,0,normal,0,hit_day,4,5,2,15300.0,7600.0,2700.0,hit1,0.0,4,1,1,0,rank1
2026-01-18,2026-01,Sunday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,0,0.6709209814863237,27500.0,0.5,0.6709209814863237,3,0.2344876078008189,19700.0,0.5,0.2344876078008189,0.4364333736855048,1.0,1.0,Q4,163.0,-1.0485661900994268,0,normal,0,hit_day,0,3,7,27500.0,19700.0,17900.0,hit1,0.0,0,1,1,0,rank1
2026-01-18,2026-01,Sunday,3F_A,xgb_ranker_ndcg,recent_60d,1.0,3,0.9358162394070764,8000.0,0.5,0.9358162394070764,7,0.8894499837377599,6800.0,0.5,0.8894499837377599,0.0463662556693164,1.0,1.0,Q2,163.0,-1.0485661900994268,0,normal,0,hit_day,3,7,2,8000.0,6800.0,3800.0,hit1,0.0,3,1,1,0,rank1
2026-01-18,2026-01,Sunday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,0,0.9937732659261402,35700.0,0.5,0.9937732659261402,9,0.9208111490270172,9100.0,0.5,0.9208111490270172,0.072962116899123,1.0,1.0,Q2,163.0,-1.0485661900994268,0,normal,0,hit_day,0,8,9,35700.0,13300.0,9100.0,hit1,0.0,0,1,0,0,rank1
2026-01-19,2026-01,Monday,2F_N,xgb_ranker_ndcg,recent_60d,0.75,1,0.6258152899140347,13400.0,0.5,0.6258152899140347,2,0.0126810111815287,9000.0,0.5,0.0126810111815287,0.6131342787325059,1.0,1.0,Q4,163.0,-0.8978860802260901,0,normal,0,hit_day,1,5,2,13400.0,10600.0,9000.0,hit1,0.0,1,1,0,0,rank1
2026-01-19,2026-01,Monday,3F_A,xgb_ranker_ndcg,recent_60d,1.0,9,0.934413867593696,8600.0,0.5,0.934413867593696,3,0.3313655789035937,4700.0,0.5,0.3313655789035937,0.6030482886901022,1.0,1.0,Q4,163.0,-0.8978860802260901,0,normal,0,hit_day,9,3,8,8600.0,4700.0,4300.0,hit1,0.0,9,1,1,0,rank1
2026-01-19,2026-01,Monday,3F_N,xgb_ranker_ndcg,recent_60d,0.75,5,0.9977281006979242,16600.0,0.5,0.9977281006979242,2,0.9969877783164895,24500.0,0.5,0.9969877783164895,0.0007403223814345,1.0,1.0,Q1,163.0,-0.8978860802260901,0,normal,0,hit_day,2,5,1,24500.0,16600.0,12000.0,hit1,7900.0,5,1,1,0,rank1
2026-01-20,2026-01,Tuesday,2F_N,xgb_ranker_ndcg,recent_60d,1.0,3,0.9355249065378176,28400.0,0.5,0.9355249065378176,7,0.640334403353413,14900.0,0.5,0.640334403353413,0.2951905031844045,1.0,1.0,Q3,169.5,0.4404430134973731,0,normal,0,hit_day,3,1,8,28400.0,24400.0,17000.0,hit1,0.0,3,1,0,0,rank1
