hall,segment,contrast,estimator,window_days,calendar_days,base_rate,n_days,n_days_in_group,n_per_day,mean_effect,daily_sd,mde,bootstrap_ci_halfwidth,detectability,reference_effect,reference_class,rb0_rate,gate
楽園蒲田店,all,strong_zorome,bonus_rate,,28,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,strong_zorome,bonus_rate,,56,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,strong_zorome,bonus_rate,,180,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,strong_zorome,bonus_rate,,365,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,weekday,bonus_rate,,28,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,weekday,bonus_rate,,56,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,weekday,bonus_rate,,180,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,weekday,bonus_rate,,365,,0,,,,,,,,0.424,calendar,0.16476342493239834,NOT_APPLICABLE
楽園蒲田店,all,last_digit,payout_within_model,28.0,28,1.0,615,,40.0,0.09646428872003868,3.5944273378874367,1.9019921683484182,1.2310731036472573,0.7097821024006967,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,last_digit,payout_within_model,56.0,56,1.0,615,,40.0,0.09646428872003868,3.5944273378874367,1.344911560002872,0.8750643079796865,1.0037834755447541,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,last_digit,payout_within_model,180.0,180,1.0,615,,40.0,0.09646428872003868,3.5944273378874367,0.7501558276519918,0.49613145204832815,1.7996260913223014,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,last_digit,payout_within_model,365.0,365,1.0,615,,40.0,0.09646428872003868,3.5944273378874367,0.5267945918655117,0.35028005646549687,2.562668677404815,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,section,payout_within_model,28.0,28,1.0,607,,8.0,0.2674841916464844,10.494235532431862,5.553027483710442,3.8153027626252562,0.243110628204194,1.35,position,0.16476342493239834,UNDETECTABLE
楽園蒲田店,all,section,payout_within_model,56.0,56,1.0,607,,8.0,0.2674841916464844,10.494235532431862,3.926583389846924,2.7004096248352347,0.3438103475634142,1.35,position,0.16476342493239834,UNDETECTABLE
楽園蒲田店,all,section,payout_within_model,180.0,180,1.0,607,,8.0,0.2674841916464844,10.494235532431862,2.190143575425058,1.467263730929948,0.6163979453894912,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,section,payout_within_model,365.0,365,1.0,607,,8.0,0.2674841916464844,10.494235532431862,1.5380214995519037,1.049753984182253,0.8777510590023072,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,machine_name,payout_within_model,28.0,28,1.0,615,,10.0,0.1267220074093967,6.298369825024841,3.332784044425826,2.3557387696736916,0.4050667496017069,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,machine_name,payout_within_model,56.0,56,1.0,615,,10.0,0.1267220074093967,6.298369825024841,2.3566341980438295,1.6653631719397761,0.5728508909531204,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,machine_name,payout_within_model,180.0,180,1.0,615,,10.0,0.1267220074093967,6.298369825024841,1.3144677537776401,0.9277621245390971,1.0270316606247998,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,machine_name,payout_within_model,365.0,365,1.0,615,,10.0,0.1267220074093967,6.298369825024841,0.9230808831267353,0.6472942444290783,1.4624937258229953,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,corner1,payout_within_model,28.0,28,1.0,614,,101.0,-0.599875840798672,2.6009325273630126,1.3762841288522458,0.9465165771062217,0.9809021056762709,1.35,position,0.16476342493239834,MARGINAL
楽園蒲田店,all,corner1,payout_within_model,56.0,56,1.0,614,,101.0,-0.599875840798672,2.6009325273630126,0.9731798403508433,0.6553910204063358,1.3872050612077091,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,corner1,payout_within_model,180.0,180,1.0,614,,101.0,-0.599875840798672,2.6009325273630126,0.5428137807002426,0.3702192265462012,2.487040764253384,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,corner1,payout_within_model,365.0,365,1.0,614,,101.0,-0.599875840798672,2.6009325273630126,0.38118928564215143,0.2548586219999134,3.5415476007563806,1.35,position,0.16476342493239834,DETECTABLE
楽園蒲田店,all,dd_event,payout_within_model,10.289430894308943,28,0.367479674796748,615,226.0,472.0,-0.8882269969180727,1.6197229471551973,1.413849195370067,1.025953097670098,1.6267647267698788,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,dd_event,payout_within_model,20.578861788617886,56,0.367479674796748,615,226.0,472.0,-0.8882269969180727,1.6197229471551973,0.9997423536213184,0.7179506058090974,2.3005927393881245,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,dd_event,payout_within_model,66.14634146341464,180,0.367479674796748,615,226.0,472.0,-0.8882269969180727,1.6197229471551973,0.5576296427387009,0.4023900254180376,4.124601390815507,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,dd_event,payout_within_model,134.130081300813,365,0.367479674796748,615,226.0,472.0,-0.8882269969180727,1.6197229471551973,0.3915936785802359,0.284579585945633,5.873434955178265,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,strong_zorome,payout_within_model,0.9560975609756098,28,0.03414634146341464,615,21.0,505.0,0.5664673785101308,0.9775577782342754,2.799299469554468,1.8856845759168495,0.821634135616817,2.3,calendar,0.16476342493239834,INSUFFICIENT_DATA
楽園蒲田店,all,strong_zorome,payout_within_model,1.9121951219512197,56,0.03414634146341464,615,21.0,505.0,0.5664673785101308,0.9775577782342754,1.97940363749387,1.1763004024178794,1.1619661378979975,2.3,calendar,0.16476342493239834,INSUFFICIENT_DATA
楽園蒲田店,all,strong_zorome,payout_within_model,6.146341463414634,180,0.03414634146341464,615,21.0,505.0,0.5664673785101308,0.9775577782342754,1.1040585999115113,0.6881349428151879,2.0832227566402195,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,strong_zorome,payout_within_model,12.463414634146343,365,0.03414634146341464,615,21.0,505.0,0.5664673785101308,0.9775577782342754,0.775321710632382,0.5542700662124767,2.9665105058441252,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,weekday,payout_within_model,4.052032520325203,28,0.14471544715447154,615,89.0,368.0,0.07921658489812215,1.3416101178911142,1.8661557836608014,1.4248966030936334,1.2324801713435385,2.3,calendar,0.16476342493239834,INSUFFICIENT_DATA
楽園蒲田店,all,weekday,payout_within_model,8.104065040650406,56,0.14471544715447154,615,89.0,368.0,0.07921658489812215,1.3416101178911142,1.3195714093770485,1.0204072471737988,1.742990173669948,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,weekday,payout_within_model,26.048780487804876,180,0.14471544715447154,615,89.0,368.0,0.07921658489812215,1.3416101178911142,0.7360217669220059,0.5549078811366384,3.124907582038568,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,all,weekday,payout_within_model,52.82113821138211,365,0.14471544715447154,615,89.0,368.0,0.07921658489812215,1.3416101178911142,0.5168689917712476,0.3937309749898835,4.449870347451446,2.3,calendar,0.16476342493239834,DETECTABLE
楽園蒲田店,JUG,last_digit,payout,28.0,28,1.0,615,,8.0,-0.2013036680023546,3.6446230529256782,1.9285532441228685,1.2237886529128428,0.7000066003435637,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,last_digit,payout,56.0,56,1.0,615,,8.0,-0.2013036680023546,3.6446230529256782,1.3636930767985957,0.8805489553860901,0.9899588279565505,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,last_digit,payout,180.0,180,1.0,615,,8.0,-0.2013036680023546,3.6446230529256782,0.7606316572124321,0.49107846577025804,1.7748406698552213,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,last_digit,payout,365.0,365,1.0,615,,8.0,-0.2013036680023546,3.6446230529256782,0.534151210523022,0.34041789608468564,2.527374221764148,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,section,payout,28.0,28,1.0,66,,4.5,1.5874366833273061,5.054035952774867,2.6743444496443356,1.8014435905259796,0.5047966054557924,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,section,payout,56.0,56,1.0,66,,4.5,1.5874366833273061,5.054035952774867,1.8910470955721153,1.268615303406482,0.7138902056754819,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,section,payout,180.0,180,1.0,66,,4.5,1.5874366833273061,5.054035952774867,1.054775675439035,0.7235210809369339,1.2798929966204258,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,section,payout,365.0,365,1.0,66,,4.5,1.5874366833273061,5.054035952774867,0.7407129305277488,0.49664407498208085,1.822568426121766,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,machine_name,payout,28.0,28,1.0,615,,13.0,-0.4230374436545157,3.5095330502214286,1.857070333769571,1.378869108660388,0.7269514651390208,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,machine_name,payout,56.0,56,1.0,615,,13.0,-0.4230374436545157,3.5095330502214286,1.313147026148829,0.9585186014837626,1.0280646211865954,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,machine_name,payout,180.0,180,1.0,615,,13.0,-0.4230374436545157,3.5095330502214286,0.7324384171605477,0.5410484813640412,1.843158371230117,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,machine_name,payout,365.0,365,1.0,615,,13.0,-0.4230374436545157,3.5095330502214286,0.5143525955699314,0.37849381934173065,2.624658671167246,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,corner1,payout,28.0,28,1.0,614,,18.0,-0.2358985622428033,2.598473115332212,1.374982730331258,1.156330152096175,0.9818305133728922,1.35,position,0.008866357908791254,MARGINAL
楽園蒲田店,JUG,corner1,payout,56.0,56,1.0,614,,18.0,-0.2358985622428033,2.598473115332212,0.9722596126316266,0.809053329812971,1.3885180279636826,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,corner1,payout,180.0,180,1.0,614,,18.0,-0.2358985622428033,2.598473115332212,0.5423005022015911,0.4404202707284614,2.4893947073981506,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,corner1,payout,365.0,365,1.0,614,,18.0,-0.2358985622428033,2.598473115332212,0.38082883741627177,0.31502650629388934,3.5448996172639062,1.35,position,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,dd_event,payout,10.289430894308943,28,0.367479674796748,615,226.0,81.0,0.15330750662324988,1.8954921443707062,1.6545669417450204,1.2216956760071476,1.3900918373083542,2.3,calendar,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,dd_event,payout,20.578861788617886,56,0.367479674796748,615,226.0,81.0,0.15330750662324988,1.8954921443707062,1.1699555044349914,0.8559448355466314,1.965886729265608,2.3,calendar,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,dd_event,payout,66.14634146341464,180,0.367479674796748,615,226.0,81.0,0.15330750662324988,1.8954921443707062,0.6525700022561783,0.48204665502368516,3.524526092293609,2.3,calendar,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,dd_event,payout,134.130081300813,365,0.367479674796748,615,226.0,81.0,0.15330750662324988,1.8954921443707062,0.45826525013906777,0.3368740249651875,5.018927355504326,2.3,calendar,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,strong_zorome,payout,0.9560975609756098,28,0.03414634146341464,615,21.0,81.0,1.3502746770441973,1.2635887590608244,3.6183675499600594,2.1907672836984418,0.635645762417195,2.3,calendar,0.008866357908791254,INSUFFICIENT_DATA
楽園蒲田店,JUG,strong_zorome,payout,1.9121951219512197,56,0.03414634146341464,615,21.0,81.0,1.3502746770441973,1.2635887590608244,2.558572231402112,1.5808392390033765,0.8989388580753833,2.3,calendar,0.008866357908791254,INSUFFICIENT_DATA
楽園蒲田店,JUG,strong_zorome,payout,6.146341463414634,180,0.03414634146341464,615,21.0,81.0,1.3502746770441973,1.2635887590608244,1.4271034073428268,0.5123164513850038,1.611656161821132,2.3,calendar,0.008866357908791254,DETECTABLE
楽園蒲田店,JUG,strong_zorome,payout,12.463414634146343,365,0.03414634146341464,615,21.0,81.0,1.3502746770441973,1.2635887590608244,1.0021789197774675,0.44578447752210176,2.2949993804606383,2.3,calendar,0.008866357908791254,DETECTABLE
