date,weekday,best_row_group,best_row_mean,all_rows_mean,row_concentration_ratio,gini_above_mean,n_row_groups
2025-04-01,火,94,1447.8,-33.858038127131934,-42.76089460835636,0.3003835217880051,142
2025-04-02,水,310,1571.6666666666667,-3.3942416586084785,-463.0391188207252,0.32096908828322723,142
2025-04-03,木,200,2162.6153846153848,26.952273014121474,80.23870133262216,0.35367666119415886,142
2025-04-04,金,59,3124.7,67.47793974281845,46.306985837287,0.3591702388242499,142
2025-04-05,土,234,2800.0,-83.33060943771963,-33.60109831061165,0.286123140394257,142
2025-04-06,日,219,1756.05,-91.95029501141553,-19.097818008979615,0.3339533604504725,142
2025-04-07,月,103,3143.4,23.556409334476996,133.44138978767626,0.3696258697771353,142
2025-04-08,火,103,1247.9,-21.20133433830748,-58.8595029014396,0.30822557175411136,142
2025-04-09,水,204,2344.9,-15.66103008564721,-149.7283376110119,0.3049157173594519,142
2025-04-10,木,210,1892.1666666666667,56.153672610455565,33.69622285959536,0.3241590214067278,109
2025-04-11,金,102,3705.1,159.81464111815785,23.18373319288475,0.35736296494783204,142
2025-04-12,土,32,2455.85,-6.363019833142074,-385.95667849542053,0.318742796097945,142
2025-04-13,日,36,1258.0,-46.443131528830655,-27.086890108154467,0.29936676510676974,142
2025-04-14,月,50,3025.3333333333335,-4.74840714282654,-637.125933462494,0.3001309565170911,142
2025-04-15,火,55,638.3,-82.5235081092903,-7.734765700394911,0.30182966960642355,142
2025-04-16,水,100,1305.7,-60.435105015380316,-21.60499265563795,0.3150004320400934,142
2025-04-17,木,202,1151.7142857142858,43.72013479884443,26.342880483175612,0.35282499595272787,142
2025-04-18,金,104,1614.6,-97.82047301099016,-16.505747215295095,0.3127036730185031,142
2025-04-19,土,209,2362.818181818182,-42.53300451532342,-55.55258107775872,0.3143785950091542,142
2025-04-20,日,93,1850.6,-120.58343818328167,-15.347049544127005,0.2844866299244744,142
2025-04-21,月,51,2126.1,-1822.0437400801177,-1.1668764877765845,0.4236529618264808,142
2025-04-22,火,102,2324.1,68.022533241074,34.16661934308321,0.3272472362780805,142
2025-04-23,水,104,1828.9,52.281965889917174,34.981469592227256,0.3214119070249719,142
2025-04-24,木,53,3221.1,29.35847685490467,109.71618234553875,0.34472326919262053,142
2025-04-25,金,234,2020.0,-47.92406162604964,-42.15001674444904,0.29399078782715193,142
2025-04-26,土,52,2382.7,-49.03079233558956,-48.59599216124619,0.31698507878956916,142
2025-04-27,日,89,2475.3,-75.49082249944877,-32.78941622364857,0.31193616515378264,142
2025-04-28,月,234,2590.0,29.379941069960566,88.1553844452104,0.29447052686489306,142
2025-04-29,火,250,3309.0,-113.89331394770909,-29.053505296362122,0.304856348978223,142
2025-04-30,水,234,4230.0,223.39880447677731,18.93474770335987,0.3022488602764466,142
2025-05-01,木,37,1370.0,-47.98677488867046,-28.54953272393084,0.32237950314955066,142
2025-05-02,金,92,1479.090909090909,-5.788032119950388,-255.5429683938221,0.2924769158759202,142
2025-05-03,土,99,1773.0,-120.12836036436151,-14.759212517529674,0.31026944859222194,142
2025-05-04,日,92,1464.5454545454545,-114.903932372617,-12.745825354315492,0.2640545258304796,142
2025-05-05,月,103,2362.3,161.60327027728303,14.617897248902855,0.3305640606926583,142
2025-05-06,火,52,3017.1,-6.091982334688868,-495.25750966480604,0.31098449996461186,142
2025-05-07,水,50,3897.4444444444443,37.856502326246854,102.95310461743976,0.3496276418374962,142
2025-05-08,木,217,1603.4285714285713,-52.39499000372995,-30.60270784123491,0.28707224334600756,142
2025-05-09,金,209,1412.5454545454545,-3.9682847444828053,-355.95869386876734,0.36328595127346053,142
2025-05-10,土,209,2198.2727272727275,32.46488043246058,67.71233092467348,0.34241597888049213,142
2025-05-11,日,59,2273.8,16.854410877794603,134.90830480439354,0.33905428579460795,142
2025-05-12,月,53,1269.7,-40.798465984926814,-31.121268149373478,0.28061781194737434,142
2025-05-13,火,102,1957.4,-8.731995085050713,-224.16412067742615,0.3506876553438276,142
2025-05-14,水,163,1900.0,10.858265948038332,174.98189942043706,0.36749510140510133,142
2025-05-15,木,37,3818.0,27.905072278177407,136.8210037924105,0.34775007352700893,142
2025-05-16,金,102,1686.0,-130.0150513135612,-12.967729374146254,0.28972010569793993,142
2025-05-17,土,37,3466.75,0.6778509817802484,5114.324671914219,0.30713107473670864,142
2025-05-18,日,50,4160.777777777777,-168.95180005567727,-24.627010640943823,0.2928387036368256,142
2025-05-19,月,93,2750.1,9.747940878778895,282.1211201626101,0.3418969099147733,142
2025-05-20,火,58,1067.7619047619048,-41.97848288859239,-25.435933632848556,0.30458930335132806,142
2025-05-21,水,52,2376.8,-26.66438711282133,-89.1376197751471,0.382702730253657,142
2025-05-22,木,104,3662.3,176.20992573018168,20.783732725747992,0.3413043478260869,142
2025-05-23,金,37,1775.0,-20.17236240308419,-87.99167715371884,0.3185212640364605,142
2025-05-24,土,310,3428.6666666666665,126.52030057399456,27.099735387219013,0.306039743818314,142
2025-05-25,日,55,1802.0,-49.95014729727792,-36.07596969184917,0.31466130114017443,142
2025-05-26,月,80,1814.7428571428572,34.64410995035731,52.382435563888414,0.34665313104506734,142
2025-05-27,火,50,2615.0,36.16676097995256,72.30395891546686,0.3458281854871921,142
