date,weekday,avg_diff,is_anomaly,anomaly_direction,zscore,rolling_median,iqd_bound_upper,iqd_bound_lower
2025-02-15,土,-11.299479166666666,0,,-0.21903652336283913,5.446745562130178,211.71971604500249,-200.8262249207421
2025-02-16,日,-41.864603481624755,0,,-0.5195389875080668,-4.950906065088757,186.74434303932566,-196.64615516950317
2025-02-17,月,27.038201160541586,0,,0.45022822265011037,-4.950906065088757,186.74434303932566,-196.64615516950317
2025-02-18,火,-94.3394584139265,0,,-1.258092286396734,-4.950906065088757,186.74434303932566,-196.64615516950317
2025-02-19,水,-36.48742746615087,0,,-0.3602052440723997,-10.89453125,180.80071785441442,-202.58978035441442
2025-02-20,木,-82.7674081237911,0,,-0.8937670501685189,-10.89453125,206.0669485549741,-227.8560110549741
2025-02-21,金,-4.299806576402321,0,,0.04355876780520405,-7.394694954867827,184.3005541495466,-199.08994405928223
2025-02-22,土,50.535299806576404,0,,0.700376950245671,-1.8560176866232512,199.96640743326503,-203.67844280651155
2025-02-23,日,-49.720986460348165,0,,-0.6355052458829343,-1.8560176866232512,201.35188120662752,-205.06391657987405
2025-02-24,月,-36.020309477756285,0,,-0.4085581267719724,-7.394694954867827,181.6406048517086,-196.42999476144422
2025-02-25,火,16.11798839458414,0,,0.26585542787881716,-1.8560176866232512,180.55089720699374,-184.26293258024026
2025-02-26,水,-42.23017408123791,0,,-0.6231230245589519,-7.394694954867827,143.4360703654638,-158.22546027519942
2025-02-27,木,42.21228239845261,0,,0.7306062413743362,-1.8560176866232512,160.8804426615392,-164.59247803478573
2025-02-28,金,148.66827852998065,0,,2.154611396374668,6.558392371403828,184.50810223600732,-171.39131749319964
2025-03-01,土,-43.975822050290134,0,,-0.6983022239149765,-1.8560176866232512,160.8804426615392,-164.59247803478573
2025-03-02,日,-163.77852998065765,0,,-2.5488063567190133,-7.394694954867827,158.14302264667958,-172.93241255641522
2025-03-03,月,136.47823984526113,0,,2.1097537111429996,-7.394694954867827,176.59321607027726,-191.3826059800129
2025-03-04,火,29.852030947775628,0,,0.5461862462887475,-7.394694954867827,176.59321607027726,-191.3826059800129
2025-03-05,水,-27.656673114119922,0,,-0.29712178788850424,-7.394694954867827,176.59321607027726,-191.3826059800129
2025-03-06,木,32.466634429400386,0,,0.5845268098296832,-7.394694954867827,176.59321607027726,-191.3826059800129
2025-03-07,金,-49.87862669245648,0,,-0.5552451758990395,-10.89453125,178.5336602393617,-200.3227227393617
2025-03-08,土,2.5174081237911023,0,,0.14694435588776497,-7.799642871534493,181.6285486178272,-197.2278343608962
2025-03-09,日,17.151353965183752,0,,0.3912213651112032,-7.799642871534493,164.2711985211154,-179.8704842641844
2025-03-10,月,44.93230174081238,0,,0.8268151966518427,-7.799642871534493,164.2711985211154,-179.8704842641844
2025-03-11,火,107.02079303675049,0,,1.6581666150289243,-0.8911992263056092,174.6922147001934,-176.47461315280464
2025-03-12,水,-28.359767891682786,0,,-0.33289942130234207,-7.799642871534493,158.83091805689878,-174.43020379996779
2025-03-13,木,4.876692456479691,0,,0.2269387279772934,-7.799642871534493,142.90514436250805,-158.50443010557706
2025-03-14,金,15.880077369439071,0,,0.3059352556442477,-0.8911992263056092,147.01233075435204,-148.79472920696327
2025-03-15,土,82.96760154738878,0,,1.529720382718491,-0.8911992263056092,147.01233075435204,-148.79472920696327
2025-03-16,日,-41.12814313346228,0,,-0.7385640640986416,-0.8911992263056092,146.09574468085106,-147.8781431334623
2025-03-17,月,51.930851063829785,0,,0.7988007099955922,3.6970502901353965,166.6097678916828,-159.215667311412
2025-03-18,火,12.440038684719536,0,,0.06397330972453197,8.658365570599614,168.14603481624758,-150.82930367504835
2025-03-19,水,-25.517408123791103,0,,-0.49421130281471287,3.6970502901353965,163.18471953578336,-155.79061895551257
2025-03-20,木,-47.01689460981496,0,,-0.8579109845120501,3.6970502901353965,163.18471953578336,-155.79061895551257
2025-03-21,金,-28.55832662912309,0,,-0.5464537573991229,3.6970502901353965,162.95116054158606,-155.55705996131528
2025-03-22,土,88.03982300884955,0,,1.3657637064804067,8.658365570599614,165.47258691224047,-148.15585577104125
2025-03-23,日,-184.69710378117458,1,low,-3.1013761037778353,8.658365570599614,176.86532882011605,-159.54859767891682
2025-03-24,月,15.54750922509225,0,,0.11671227543498723,8.658365570599614,167.91247582205028,-150.59574468085106
2025-03-25,火,-23.94770716009654,0,,-0.5949571900552534,8.658365570599614,156.51973391417468,-139.20300277297545
2025-03-26,水,-31.974658085277554,0,,-0.7731551056851829,8.658365570599614,150.4512568254566,-133.13452568425737
2025-03-27,木,-11.983909895414321,0,,-0.2983734248324945,3.6970502901353965,145.48994154499238,-138.0958409647216
2025-03-28,金,-88.23692679002413,0,,-1.74929693560201,3.6970502901353965,145.48994154499238,-138.0958409647216
2025-03-29,土,-30.25985518905873,0,,-0.5434969193762591,-4.733250885811609,121.98463095462247,-131.4511327262457
2025-03-30,日,-21.627916331456156,0,,-0.1117239330859684,-16.80591311343524,99.63972501326577,-133.25155124013625
2025-03-31,月,68.80329847144006,0,,1.6091629815908437,-4.733250885811609,118.56166233032643,-128.02816410194964
2025-04-01,火,-44.46580852775543,0,,-0.8694473901777583,-4.733250885811609,118.56166233032643,-128.02816410194964
2025-04-02,水,-7.690667739340306,0,,0.05124267276681701,-9.837288817377313,103.18538068502765,-122.85995831978228
2025-04-03,木,37.70474658085278,0,,1.0968308004559122,-9.837288817377313,107.10728590746477,-126.7818635422194
2025-04-04,金,79.70273531777957,0,,1.6761115881094237,-2.5866298077746017,129.87275337635438,-135.0460129919036
2025-04-05,土,-99.1532582461786,0,,-1.8793139212910825,-9.837288817377313,118.38742275893942,-138.06200039369406
2025-04-06,日,-76.98390989541431,0,,-1.412844540193956,-9.837288817377313,118.38742275893942,-138.06200039369406
2025-04-07,月,39.862027353177794,0,,0.946036982168754,-9.837288817377313,131.90004022526148,-151.57461786001608
2025-04-08,火,-4.000402252614642,0,,0.11110636878865021,-9.837288817377313,131.90004022526148,-151.57461786001608
2025-04-09,水,-20.67739340305712,0,,-0.09191625074520743,-16.33065164923572,111.25842162920868,-143.91972492768014
2025-04-10,木,57.969254820218865,0,,1.5711466703509278,-16.33065164923572,111.25842162920868,-143.91972492768014
2025-04-11,金,188.2586484312148,1,high,3.77079801282215,-9.837288817377313,131.90004022526148,-151.57461786001608
2025-04-12,土,-4.61102172164119,0,,0.09948309820382055,-9.837288817377313,131.90004022526148,-151.57461786001608
2025-04-13,日,-63.36082059533387,0,,-0.8116899399097603,-16.33065164923572,139.99430641378956,-172.65560971226103
2025-04-14,月,-13.367256637168142,0,,0.06944120452800065,-17.022325020112632,124.98809320654486,-159.0327432467701
2025-04-15,火,-68.67216411906678,0,,-0.9478587184311977,-17.022325020112632,129.99459129798458,-164.03924133820988
2025-04-16,水,-22.071600965406276,0,,-0.022091915426946822,-21.152654867256636,91.07467014701342,-133.3799798815267
2025-04-17,木,54.08286403861625,0,,1.3806943792022544,-21.152654867256636,125.86426145084059,-168.16957118535387
2025-04-18,金,-76.76346699068449,0,,-0.9551136990029401,-21.152654867256636,135.9364657951688,-178.2417755296821
2025-04-19,土,-72.60323232323232,0,,-0.7643713036928776,-21.152654867256636,160.45235477344718,-202.75766450796047
2025-04-20,日,-170.62720920674064,0,,-2.0263455835839266,-21.152654867256636,177.86687609283578,-220.17218582734907
2025-04-21,月,-1384.23572003218,1,low,-22.336368508259724,-21.849758648431216,142.7122346072817,-186.41175190414413
2025-04-22,火,73.31657280772325,0,,1.2806681587356574,-21.152654867256636,177.86687609283578,-220.17218582734907
2025-04-23,水,18.037007240547062,0,,0.5279708811968093,-21.152654867256636,179.11162510056317,-221.41693483507646
2025-04-24,木,3.2892196299275946,0,,0.27364114796015715,-17.022325020112632,183.2419549477072,-217.28660498793244
2025-04-25,金,-75.0,0,,-0.7490965829692682,-17.022325020112632,191.79422901582194,-225.83887905604718
2025-04-26,土,-54.229283990345934,0,,-0.4273643236097928,-21.152654867256636,187.66389916867791,-229.9692089031912
2025-04-27,日,-72.65004022526146,0,,-0.6653684442660964,-21.152654867256636,187.66389916867791,-229.9692089031912
2025-04-28,月,-20.460579243765086,0,,0.0014006662557731072,-20.568986323411103,188.24756771252345,-229.38554035934567
2025-04-29,火,-109.82381335478681,0,,-1.1420768155759295,-20.568986323411103,190.28331366764996,-231.42128631447218
2025-04-30,水,188.63274336283186,0,,2.676879819273548,-20.568986323411103,190.28331366764996,-231.42128631447218
2025-05-01,木,-28.65567176186645,0,,-0.10347469443718414,-20.568986323411103,190.28331366764996,-231.42128631447218
2025-05-02,金,-45.1082059533387,0,,-0.30368910494106693,-21.3744971842317,189.47780280682937,-232.22679717529277
2025-05-03,土,-126.84151246983106,0,,-1.54224527590055,-25.363636363636363,152.16150442477874,-202.8887771520515
